name,category,location,phone,website,rating,reviews,address,hours,gps_coordinates,data_id
Tapovan Vidyalaya,Private Schools,"Chandauli, Uttar Pradesh",,,,,"77C7+R35, Sakaldiha - Chandauli Rd, Danpur, Chandauli, Uttar Pradesh 232104",Closed · Opens 8 am Thu,"{'latitude': 25.272009399999998, 'longitude': 83.26272589999999}",0x398e1632c9f36237:0x4dc56d6d05d8c34c
ST. Thomas' School,Private Schools,"Chandauli, Uttar Pradesh",05412 260 160,http://stschdnlesvns.org.in/,,,"Ward No.- 10, 10/18, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 7 am Thu,"{'latitude': 25.2546094, 'longitude': 83.2713903}",0x398e173fc13219d1:0x932f12ca28ede0a7
Daddy's International School,Private Schools,"Chandauli, Uttar Pradesh",094157 39330,http://www.daddysinternationalschool.com/,,,"Majhwar Khas, Chandauli, Bisunpura, Uttar Pradesh 232104",Closed · Opens 7 am Thu,"{'latitude': 25.1775937, 'longitude': 83.2783128}",0x398e154d88c11ba3:0x93a22df6a44426e7
The Aryan International School Mughalsarai,Private Schools,"Chandauli, Uttar Pradesh",070546 77699,https://www.thearyanis.com/,4.8,,"Alinagar, Opposite to Gulli Pandey Pokhara Bypass Road,NH-19 (Delhi - Kolkata Highway, mode, near Godhana, Mughalsarai, Uttar Pradesh 232101",Closed · Opens 7 am Thu,"{'latitude': 25.265234799999998, 'longitude': 83.1471586}",0x398e3b41f4e6eb47:0x8cf8470efc323cdd
Nandan Kanan international school,Private Schools,"Chandauli, Uttar Pradesh",,,,,"6628+78P Sikari, road, Baburi, chandauli, Uttar Pradesh 232102",Closed · Opens 8 am Thu,"{'latitude': 25.2014092, 'longitude': 83.2161249}",0x398e3f7a42c64f43:0x3b2443a3ea58b636
Aryan Petals (A unit of The Aryan International School Varanasi),Private Schools,"Chandauli, Uttar Pradesh",086016 01601,,5,,"H, 660, Kailashpuri Road, Ravi Nagar, colony, Chandauli, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Closed · Opens 8 am Thu,"{'latitude': 25.288507, 'longitude': 83.11102509999999}",0x398e3b525f292193:0x85cc13c7b96b0e6a
Blossom Academy,Private Schools,"Chandauli, Uttar Pradesh",099363 89206,,,,"77C6+RGQ, Sakaldiha - Chandauli Rd, near polytechnic college, Danpur, Chandauli, Uttar Pradesh 232104",Closed · Opens 8:30 am Thu,"{'latitude': 25.272080199999998, 'longitude': 83.26134379999999}",0x398e178008d14fdb:0x1ecd79ac88eb081e
M D S public school,Private Schools,"Chandauli, Uttar Pradesh",099357 18833,,,,"Near Neharu Nagar g t road bichhiyakala, Chandauli, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.2616534, 'longitude': 83.2533425}",0x398e162861d5d7e3:0x5afa0b7f10870343
Gyanpeeth Residential School,Private Schools,"Chandauli, Uttar Pradesh",093369 91530,https://linktr.ee/gyanpeethresidentialschool,,,"Ward No 5, Lok Manya Tilak Nagar, H No 200, Dak Bungalow Road, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2633595, 'longitude': 83.2658654}",0x398e1745a9afd1dd:0xa8ce117e969a62f7
St.John's School,Private Schools,"Chandauli, Uttar Pradesh",087658 42474,https://stjohnskatsilachandauli.com/,,,"767F+W8J, Katsila, Uttar Pradesh 232104",Closed · Opens 8 am Thu,"{'latitude': 25.2648264, 'longitude': 83.2232525}",0x398e3da6aa83751d:0x13eeca5d03a5a43b
